Date,Open,High,Low,Close,Adj Close,Volume
2011-01-31,129.270004,132.699997,129.250000,131.660004,131.660004,72698800
2011-02-07,131.669998,133.500000,131.229996,132.320007,132.320007,51569400
2011-02-14,132.949997,135.800003,132.699997,135.410004,135.410004,58840500
2011-02-21,136.919998,138.199997,135.729996,137.380005,137.380005,61494900
2011-02-28,137.649994,140.550003,137.029999,139.350006,139.350006,75944500
2011-03-07,140.289993,140.610001,136.850006,138.220001,138.220001,59511800
2011-03-14,139.330002,139.550003,135.229996,138.369995,138.369995,74816300
2011-03-21,139.500000,141.279999,138.660004,139.259995,139.259995,65044900
2011-03-28,137.820007,140.399994,137.679993,139.199997,139.199997,55716200
2011-04-04,140.130005,143.839996,139.449997,143.660004,143.660004,61305700
2011-04-11,143.279999,145.119995,140.750000,145.050003,145.050003,72233600
2011-04-18,145.210007,147.059998,144.630005,146.740005,146.740005,52116400
2011-04-25,147.570007,153.029999,145.479996,152.369995,152.369995,102096300
2011-05-02,151.460007,153.610001,142.550003,145.300003,145.300003,158882900
2011-05-09,146.669998,148.190002,144.490005,145.630005,145.630005,82517400
2011-05-16,145.880005,147.779999,143.419998,147.490005,147.490005,69047800
2011-05-23,147.039993,149.919998,146.970001,149.699997,149.699997,61831100
2011-05-30,149.880005,151.130005,148.070007,150.220001,150.220001,55023800
2011-06-06,150.820007,151.449997,148.690002,149.240005,149.240005,51213700
2011-06-13,148.660004,150.289993,147.190002,149.940002,149.940002,68718600
2011-06-20,150.080002,151.860001,145.970001,146.259995,146.259995,81183300
2011-06-27,145.929993,147.419998,143.970001,144.929993,144.929993,62064500
2011-07-04,146.960007,150.500000,146.850006,150.250000,150.250000,48963900
2011-07-11,151.330002,155.289993,150.199997,155.199997,155.199997,106893900
2011-07-18,155.759995,156.580002,154.100006,156.119995,156.119995,84365700
2011-07-25,157.600006,159.250000,156.110001,158.289993,158.289993,71560200
2011-08-01,157.470001,163.869995,156.779999,161.750000,161.750000,131868900
2011-08-08,165.479996,175.130005,164.759995,169.970001,169.970001,222673700
2011-08-15,169.320007,181.669998,168.949997,179.949997,179.949997,113848900
2011-08-22,181.949997,184.820007,165.880005,177.470001,177.470001,235395000
2011-08-29,175.949997,183.509995,172.880005,183.240005,183.240005,98567600
2011-09-05,184.580002,185.850006,174.449997,180.699997,180.699997,107185400
2011-09-12,178.729996,179.539993,172.559998,176.029999,176.029999,98772700
2011-09-19,176.830002,176.860001,158.550003,159.800003,159.800003,132857700
2011-09-26,157.119995,162.289993,154.190002,158.059998,158.059998,123385100
2011-10-03,161.089996,161.580002,155.270004,159.179993,159.179993,78699600
2011-10-10,162.050003,164.000000,160.820007,163.399994,163.399994,46175100
2011-10-17,164.000000,164.160004,156.050003,159.520004,159.520004,63387200
2011-10-24,160.550003,170.289993,160.220001,169.619995,169.619995,74686700
2011-10-31,167.759995,172.039993,163.610001,170.850006,170.850006,66973900
2011-11-07,172.850006,175.460007,168.830002,173.960007,173.960007,69075800
2011-11-14,173.740005,173.860001,166.389999,167.619995,167.619995,72789400
2011-11-21,166.610001,166.710007,162.070007,163.399994,163.399994,51706400
2011-11-28,166.929993,170.800003,165.979996,169.820007,169.820007,53068000
2011-12-05,169.059998,169.949997,165.529999,166.399994,166.399994,51078400
2011-12-12,162.350006,163.190002,151.710007,155.229996,155.229996,122360400
2011-12-19,155.479996,157.529999,154.360001,156.309998,156.309998,47133100
2011-12-26,155.080002,155.550003,148.270004,151.990005,151.990005,52019600
2012-01-02,154.759995,158.630005,154.550003,157.199997,157.199997,46347600
2012-01-09,157.360001,161.619995,156.190002,159.259995,159.259995,42624600
2012-01-16,161.169998,162.089996,159.679993,162.070007,162.070007,37385400
2012-01-23,162.320007,169.000000,160.289993,168.970001,168.970001,77465800
2012-01-30,168.190002,171.229996,167.509995,167.639999,167.639999,62229600
2012-02-06,166.960007,170.369995,166.330002,167.139999,167.139999,57489200
2012-02-13,167.330002,168.750000,166.169998,167.350006,167.350006,44610800
2012-02-20,169.649994,173.770004,169.589996,172.229996,172.229996,51235600
2012-02-27,172.139999,174.000000,164.000000,166.339996,166.339996,92401700
2012-03-05,165.770004,166.570007,161.779999,166.380005,166.380005,59714300
2012-03-12,165.330002,165.580002,158.800003,161.300003,161.300003,80631400
2012-03-19,160.850006,162.300003,158.130005,161.529999,161.529999,50033900
2012-03-26,163.169998,164.889999,159.809998,162.119995,162.119995,53704500
2012-04-02,161.960007,163.559998,156.580002,158.309998,158.309998,49307300
2012-04-09,159.720001,163.199997,158.470001,160.850006,160.850006,51810600
2012-04-16,160.509995,161.179993,158.750000,159.539993,159.539993,40783800
2012-04-23,158.199997,161.970001,157.759995,161.380005,161.380005,48996400
2012-04-30,160.490005,162.179993,158.369995,159.470001,159.470001,45616000
2012-05-07,159.309998,159.339996,153.240005,153.559998,153.559998,52389800
2012-05-14,151.580002,155.130005,148.600006,154.550003,154.550003,74568300
2012-05-21,154.110001,154.949997,148.839996,152.679993,152.679993,53609600
2012-05-28,153.470001,158.309998,148.529999,157.500000,157.500000,65521600
2012-06-04,157.259995,159.199997,153.000000,154.729996,154.729996,65325400
2012-06-11,154.830002,158.460007,153.550003,157.839996,157.839996,57119200
2012-06-18,157.460007,158.210007,151.210007,152.639999,152.639999,51851800
2012-06-25,152.580002,155.949997,150.149994,155.190002,155.190002,36281500
2012-07-02,154.669998,157.720001,152.949997,153.710007,153.710007,21097500
2012-07-09,153.610001,155.179993,150.850006,154.139999,154.139999,37530000
2012-07-16,154.429993,154.750000,152.399994,153.669998,153.669998,40194100
2012-07-23,152.500000,157.960007,152.199997,157.539993,157.539993,38267600
2012-07-30,156.839996,157.720001,153.610001,155.550003,155.550003,53055800
2012-08-06,155.919998,157.820007,155.740005,157.179993,157.179993,21940400
2012-08-13,157.050003,157.449997,154.830002,156.720001,156.720001,31292800
2012-08-20,156.520004,162.449997,156.470001,161.970001,161.970001,59020000
2012-08-27,161.770004,164.220001,159.559998,164.220001,164.220001,43580000
2012-09-03,164.110001,169.000000,163.660004,168.440002,168.440002,52536400
2012-09-10,167.839996,172.229996,166.300003,171.800003,171.800003,70413300
2012-09-17,171.770004,173.179993,170.059998,171.960007,171.960007,54958300
2012-09-24,170.630005,172.600006,168.339996,171.889999,171.889999,51828700
2012-10-01,172.830002,174.070007,171.589996,172.619995,172.619995,42625700
2012-10-08,171.750000,172.279999,169.809998,170.059998,170.059998,32842200
2012-10-15,169.009995,169.949997,166.229996,166.970001,166.970001,42579800
2012-10-22,167.080002,167.630005,164.600006,165.929993,165.929993,42508400
2012-10-29,166.470001,167.279999,162.300003,162.600006,162.600006,25462600
2012-11-05,163.119995,168.539993,162.809998,167.820007,167.820007,51593200
2012-11-12,168.100006,168.279999,165.179993,165.880005,165.880005,37588600
2012-11-19,167.750000,170.009995,166.839996,169.610001,169.610001,22181400
2012-11-26,169.559998,169.729996,165.380005,166.050003,166.050003,41431300
2012-12-03,166.110001,166.919998,163.199997,165.160004,165.160004,41810200
2012-12-10,166.110001,166.940002,163.779999,164.130005,164.130005,38219800
2012-12-17,164.160004,164.619995,158.389999,160.330002,160.330002,83753700
2012-12-24,160.880005,161.490005,160.050003,160.539993,160.539993,24451800
2012-12-31,160.899994,164.139999,158.889999,160.440002,160.440002,57515300
2013-01-07,159.360001,162.559998,159.149994,161.059998,161.059998,50499000
2013-01-14,161.880005,164.399994,161.130005,163.089996,163.089996,51531000
2013-01-21,163.479996,164.220001,160.309998,160.649994,160.649994,37510600
2013-01-28,160.240005,163.039993,160.020004,161.449997,161.449997,50104800
2013-02-04,161.190002,162.960007,161.130005,161.570007,161.570007,41386100
2013-02-11,159.779999,160.050003,154.559998,155.759995,155.759995,64461400
2013-02-18,155.800003,155.839996,150.839996,152.970001,152.970001,70785900
2013-02-25,153.520004,156.800003,152.139999,152.440002,152.440002,63309800
2013-03-04,152.449997,153.389999,151.399994,152.710007,152.710007,46750200
2013-03-11,152.820007,154.720001,152.649994,154.000000,154.000000,36624500
2013-03-18,155.699997,156.429993,154.880005,155.550003,155.550003,38285600
2013-03-25,154.710007,155.619995,154.220001,154.449997,154.449997,27776000
2013-04-01,154.570007,154.929993,149.440002,152.809998,152.809998,56348000
2013-04-08,152.389999,153.850006,143.429993,143.949997,143.949997,95460600
2013-04-15,136.000000,136.750000,130.509995,135.470001,135.470001,200598900
2013-04-22,138.149994,143.429993,135.850006,140.910004,140.910004,79777400
2013-04-29,142.130005,142.830002,139.300003,142.089996,142.089996,59389300
2013-05-06,142.330002,142.809998,137.259995,139.600006,139.600006,55432400
2013-05-13,138.460007,139.160004,131.020004,131.070007,131.070007,68777900
2013-05-20,130.880005,136.770004,130.850006,133.759995,133.759995,77901900
2013-05-27,133.679993,137.110001,132.800003,133.919998,133.919998,39566900
2013-06-03,134.770004,137.619995,133.179993,133.279999,133.279999,43025200
2013-06-10,133.300003,134.830002,132.240005,134.429993,134.429993,31333200
2013-06-17,133.889999,134.059998,123.330002,125.050003,125.050003,69941500
2013-06-24,124.309998,124.699997,114.680000,119.110001,119.110001,109851100
2013-07-01,119.940002,121.949997,116.739998,118.089996,118.089996,44838300
2013-07-08,119.089996,124.360001,118.930000,124.129997,124.129997,49413900
2013-07-15,124.080002,125.699997,122.730003,125.110001,125.110001,32511600
2013-07-22,127.650002,130.139999,126.779999,128.779999,128.779999,40502000
2013-07-29,128.449997,128.919998,126.129997,126.360001,126.360001,41087700
2013-08-05,126.510002,127.269997,123.550003,126.860001,126.860001,30170400
2013-08-12,129.570007,133.270004,127.379997,132.580002,132.580002,55137000
2013-08-19,132.330002,135.240005,131.509995,134.899994,134.899994,44012900
2013-08-26,134.880005,137.550003,134.149994,134.619995,134.619995,48245200
2013-09-02,135.460007,136.789993,131.800003,134.149994,134.149994,35453400
2013-09-09,134.130005,134.320007,126.209999,127.820000,127.820000,43574600
2013-09-16,127.480003,132.779999,125.150002,127.959999,127.959999,76656700
2013-09-23,127.519997,129.580002,126.339996,128.970001,128.970001,39212100
2013-09-30,127.949997,129.139999,123.809998,126.529999,126.529999,56250900
2013-10-07,127.250000,128.449997,121.849998,122.599998,122.599998,50933800
2013-10-14,123.900002,127.860001,122.220001,126.849998,126.849998,40161400
2013-10-21,127.129997,130.919998,126.790001,130.460007,130.460007,36325700
2013-10-28,130.410004,131.440002,126.050003,126.949997,126.949997,38351800
2013-11-04,127.180000,127.519997,123.620003,124.279999,124.279999,28432800
2013-11-11,123.919998,124.910004,121.730003,124.320000,124.320000,29280700
2013-11-18,123.699997,123.959999,119.309998,119.919998,119.919998,38520700
2013-11-25,119.180000,121.050003,119.129997,120.699997,120.699997,24828900
2013-12-02,119.199997,120.760002,117.230003,118.550003,118.550003,44576800
2013-12-09,118.989998,122.320000,118.029999,119.379997,119.379997,39893800
2013-12-16,119.260002,120.769997,114.500000,115.940002,115.940002,63692700
2013-12-23,115.610001,117.379997,115.430000,117.120003,117.120003,17665800
2013-12-30,116.370003,119.620003,114.459999,119.290001,119.290001,32964500
2014-01-06,119.760002,120.430000,117.110001,120.260002,120.260002,35934700
2014-01-13,120.269997,121.059998,119.110001,120.930000,120.930000,30725300
2014-01-20,119.230003,122.500000,119.169998,122.290001,122.290001,31199200
2014-01-27,121.650002,122.510002,119.459999,120.089996,120.089996,41665200
2014-02-03,120.470001,122.239998,120.320000,122.169998,122.169998,34515200
2014-02-10,122.800003,127.379997,122.720001,127.150002,127.150002,46444900
2014-02-17,127.419998,128.070007,126.160004,127.580002,127.580002,34941000
2014-02-24,128.509995,129.529999,127.150002,127.620003,127.620003,40603700
2014-03-03,130.000000,130.589996,128.210007,129.089996,129.089996,35945200
2014-03-10,128.880005,133.690002,128.779999,133.100006,133.100006,42501200
2014-03-17,132.729996,133.220001,127.580002,128.470001,128.470001,48912200
2014-03-24,126.870003,127.139999,123.879997,124.559998,124.559998,42784800
2014-03-31,124.519997,125.959999,123.110001,125.570000,125.570000,34216200
2014-04-07,125.070000,127.370003,124.839996,126.930000,126.930000,25912300
2014-04-14,127.800003,128.250000,124.570000,124.750000,124.750000,26618200
2014-04-21,124.070000,125.709999,122.839996,125.430000,125.430000,32991800
2014-04-28,125.300003,125.669998,123.059998,125.059998,125.059998,37092600
2014-05-05,126.470001,126.629997,123.820000,124.099998,124.099998,23969900
2014-05-12,125.400002,125.959999,124.290001,124.500000,124.500000,20598100
2014-05-19,125.279999,125.470001,123.529999,124.510002,124.510002,20184600
2014-05-26,122.980003,123.070000,119.620003,120.430000,120.430000,31934100
2014-06-02,119.930000,120.879997,119.419998,120.610001,120.610001,23772000
2014-06-09,120.790001,123.040001,120.570000,122.959999,122.959999,21332000
2014-06-16,122.879997,127.230003,121.820000,126.500000,126.500000,48796800
2014-06-23,126.650002,127.550003,126.199997,126.660004,126.660004,27915400
2014-06-30,126.529999,128.240005,126.370003,127.160004,127.160004,36930700
2014-07-07,126.629997,129.210007,126.230003,128.779999,128.779999,29844900
2014-07-14,125.500000,127.550003,124.360001,126.129997,126.129997,43991800
2014-07-21,126.529999,126.550003,123.900002,125.790001,125.790001,23970100
2014-07-28,125.440002,125.879997,123.230003,124.379997,124.379997,31388900
2014-08-04,124.360001,126.510002,123.400002,126.190002,126.190002,37196800
2014-08-11,125.839996,126.809998,124.410004,125.480003,125.480003,28159700
2014-08-18,124.779999,125.080002,122.449997,123.190002,123.190002,26974500
2014-08-25,122.919998,124.330002,122.720001,123.860001,123.860001,18451700
2014-09-01,121.970001,122.660004,121.250000,122.059998,122.059998,24343900
2014-09-08,121.580002,121.610001,118.070000,118.379997,118.379997,36423800
2014-09-15,118.790001,119.430000,116.720001,117.089996,117.089996,35947500
2014-09-22,116.720001,117.989998,116.199997,117.059998,117.059998,29598300
2014-09-29,117.269997,117.400002,114.419998,114.610001,114.610001,38889600
2014-10-06,115.160004,118.260002,114.940002,117.589996,117.589996,34851600
2014-10-13,118.139999,120.180000,117.930000,118.989998,118.989998,34629300
2014-10-20,119.680000,120.500000,117.879997,118.349998,118.349998,21368100
2014-10-27,118.180000,118.480003,111.660004,112.660004,112.660004,39664900
2014-11-03,112.389999,113.150002,109.669998,112.970001,112.970001,44516400
2014-11-10,112.239998,114.720001,110.279999,114.470001,114.470001,41333200
2014-11-17,113.970001,115.959999,112.879997,115.389999,115.389999,35197500
2014-11-24,115.150002,115.470001,111.949997,112.110001,112.110001,26547100
2014-12-01,113.800003,117.360001,113.739998,114.430000,114.430000,37735500
2014-12-08,114.970001,118.989998,114.459999,117.410004,117.410004,29920100
2014-12-15,116.220001,116.970001,113.580002,114.769997,114.769997,36977700
