Date,Open,High,Low,Close,Adj Close,Volume
2011-01-31,65.919998,67.650002,65.830002,67.610001,53.746872,8450700
2011-02-07,67.809998,68.820000,67.730003,68.750000,54.653133,8556100
2011-02-14,68.760002,69.629997,68.540001,69.540001,55.281128,8895100
2011-02-21,68.779999,69.129997,66.820000,68.339996,54.327198,14723100
2011-02-28,68.650002,69.000000,67.370003,68.459999,54.422573,9737000
2011-03-07,68.699997,68.809998,66.709999,67.489998,53.651489,8640200
2011-03-14,67.070000,67.300003,64.750000,66.279999,52.689575,14555000
2011-03-21,67.000000,68.199997,66.550003,67.860001,53.945610,9758500
2011-03-28,68.029999,69.330002,67.419998,69.040001,55.113373,7376200
2011-04-04,69.150002,69.550003,68.529999,68.830002,54.945713,6701100
2011-04-11,68.919998,69.089996,67.410004,68.410004,54.610447,7169600
2011-04-18,67.610001,69.320000,67.070000,69.309998,55.328907,5682000
2011-04-25,69.309998,70.800003,69.019997,70.699997,56.438515,8370100
2011-05-02,71.040001,71.110001,68.800003,69.410004,55.408752,7580700
2011-05-09,69.500000,70.529999,69.070000,69.370003,55.376816,9127400
2011-05-16,69.089996,69.860001,68.269997,69.139999,55.193172,7761100
2011-05-23,68.250000,69.370003,67.889999,69.199997,55.241085,5602700
2011-05-30,69.879997,69.949997,67.360001,67.529999,53.907978,7232900
2011-06-06,67.360001,67.500000,65.730003,65.889999,52.598766,7536400
2011-06-13,66.010002,67.019997,65.180000,65.919998,52.622726,16606700
2011-06-20,65.720001,67.459999,65.599998,65.720001,52.463078,12198200
2011-06-27,65.750000,69.470001,65.610001,69.379997,55.620571,9955000
2011-07-04,69.349998,70.419998,69.029999,69.760002,55.925213,7170000
2011-07-11,68.879997,69.139999,67.720001,68.279999,54.738708,12522800
2011-07-18,67.970001,69.779999,67.139999,69.709999,55.885128,11288400
2011-07-25,69.000000,69.629997,66.220001,66.849998,53.592304,14638100
2011-08-01,67.660004,67.760002,60.000000,61.619999,49.399521,29987500
2011-08-08,59.869999,61.209999,56.419998,60.700001,48.661983,35854800
2011-08-15,61.220001,62.250000,57.570000,57.650002,46.216858,18175200
2011-08-22,58.959999,61.160000,57.500000,60.470001,48.477604,15235800
